BusinessName,RatingValue,RatingDate,Hygiene,Structural,ConfidenceInManagement,longitude,latitude
Methodist Homes For The Aged,,1901-01-01T00:00:00,,,,1.181201,51.081526
Poundland,5.0,2015-03-17T00:00:00,5,5,5,1.178961,51.079481
Starbucks,5.0,2017-01-09T00:00:00,0,0,0,1.178962,51.079482
The Harp Restrung,4.0,2019-02-22T00:00:00,5,10,5,1.180846,51.081337
Caffe La Delizia,5.0,2017-11-21T00:00:00,0,0,0,1.178962,51.079482
Folkestone Masonic Hall,5.0,2019-11-05T00:00:00,0,0,0,1.180846,51.081337
7 Days Mini Mart,5.0,2021-09-10T00:00:00,0,0,0,1.177752,51.0783483
EK Baar,5.0,2021-09-19T00:00:00,0,0,5,1.1776046,51.0783433
Rob Roy Guest House,5.0,2019-06-21T00:00:00,0,0,0,1.188295,51.088735
Tesco,5.0,2020-06-05T00:00:00,0,0,0,1.188295,51.088735
Holland & Barrett Ltd,4.0,2012-08-16T00:00:00,5,10,5,1.177468,51.078317
Folkestone 51,,1901-01-01T00:00:00,,,,1.1817418,51.0824157
KFC,5.0,2018-01-18T00:00:00,0,0,5,1.177468,51.078317
J C Rook & Sons Ltd,5.0,2020-01-03T00:00:00,0,5,5,1.177468,51.078317
British Heart Foundation,,1901-01-01T00:00:00,,,,1.177468,51.078317
Memel Shop,5.0,2017-10-18T00:00:00,0,5,0,1.182136,51.082867
Pizza Prima,5.0,2020-01-09T00:00:00,0,0,0,1.182136,51.082867
Barcode Buys,5.0,2021-10-21T00:00:00,0,0,0,1.1796215,51.0806446
The Full English,5.0,2021-09-13T00:00:00,5,5,5,1.179629,51.080669
Blank Canvas Cafe Ltd,5.0,2019-08-07T00:00:00,0,0,0,1.179628,51.080668
Chambers,5.0,2021-09-16T00:00:00,0,5,0,1.176733,51.078211
Bettys Pye & Mash,2.0,2022-02-16T00:00:00,15,15,10,1.1794011,51.0804496
Dunas,2.0,2021-10-10T00:00:00,0,15,10,1.1794486,51.0808513
Cake Box,5.0,2018-03-04T00:00:00,5,5,5,1.17673301696777,51.0782127380371
Mayfair Newsagents,5.0,2019-11-07T00:00:00,5,5,5,1.179629,51.080669
Honeypot Nursery,5.0,2015-02-23T00:00:00,0,0,0,1.181896,51.083108
Folkestone Railway Social Club,5.0,2013-03-15T00:00:00,5,5,5,1.186371,51.087132
Subway,5.0,2017-05-22T00:00:00,0,5,0,1.177506,51.079081
Burger King,5.0,2022-02-23T00:00:00,5,5,5,1.177506,51.079081
Cafe Tulip,4.0,2021-09-17T00:00:00,10,5,5,1.178969,51.080624
Lidl,5.0,2015-02-23T00:00:00,0,0,0,1.17957198619843,51.0810699462891
Sports Direct,,1901-01-01T00:00:00,,,,1.17799,51.079679
Bouverie News,5.0,2019-07-09T00:00:00,0,0,0,1.17799,51.079679
Asda Stores,5.0,2022-08-01T00:00:00,0,0,0,1.17799,51.079679
